,year,sum,variable,timescale,region
0,2000,660.0,BA_Total,yearly_jj,region_03
1,2001,11576.0,BA_Total,yearly_jj,region_03
2,2002,78966.0,BA_Total,yearly_jj,region_03
3,2003,52773.0,BA_Total,yearly_jj,region_03
4,2004,6619.0,BA_Total,yearly_jj,region_03
5,2005,41868.0,BA_Total,yearly_jj,region_03
6,2006,20732.0,BA_Total,yearly_jj,region_03
7,2007,31961.0,BA_Total,yearly_jj,region_03
8,2008,26851.0,BA_Total,yearly_jj,region_03
9,2009,11020.0,BA_Total,yearly_jj,region_03
10,2010,33903.0,BA_Total,yearly_jj,region_03
11,2011,34458.0,BA_Total,yearly_jj,region_03
12,2012,23323.0,BA_Total,yearly_jj,region_03
13,2013,135998.0,BA_Total,yearly_jj,region_03
14,2014,10186.0,BA_Total,yearly_jj,region_03
15,2015,13994.0,BA_Total,yearly_jj,region_03
16,2016,6643.0,BA_Total,yearly_jj,region_03
17,2017,29019.0,BA_Total,yearly_jj,region_03
18,2018,17505.0,BA_Total,yearly_jj,region_03
19,2019,15263.0,BA_Total,yearly_jj,region_03
20,2020,8288.0,BA_Total,yearly_jj,region_03
21,2021,95953.0,BA_Total,yearly_jj,region_03
22,2022,11351.0,BA_Total,yearly_jj,region_03
23,2023,113637.0,BA_Total,yearly_jj,region_03
