id,abbrev,name
1,GIC,Greenland/Iceland
2,NWN,N.W.North-America
3,NEN,N.E.North-America
4,WNA,W.North-America
5,CNA,C.North-America
6,ENA,E.North-America
7,NCA,N.Central-America
8,SCA,S.Central-America
9,CAR,Caribbean
10,NWS,N.W.South-America
11,NSA,N.South-America
12,NES,N.E.South-America
13,SAM,South-American-Monsoon
14,SWS,S.W.South-America
15,SES,S.E.South-America
16,SSA,S.South-America
17,NEU,N.Europe
18,WCE,West&Central-Europe
19,EEU,E.Europe
20,MED,Mediterranean
21,SAH,Sahara
22,WAF,Western-Africa
23,CAF,Central-Africa
24,NEAF,N.Eastern-Africa
25,SEAF,S.Eastern-Africa
26,WSAF,W.Southern-Africa
27,ESAF,E.Southern-Africa
28,MDG,Madagascar
29,RAR,Russian-Arctic
30,WSB,W.Siberia
31,ESB,E.Siberia
32,RFE,Russian-Far-East
33,WCA,W.C.Asia
34,ECA,E.C.Asia
35,TIB,Tibetan-Plateau
36,EAS,E.Asia
37,ARP,Arabian-Peninsula
38,SAS,S.Asia
39,SEA,S.E.Asia
40,NAU,N.Australia
41,CAU,C.Australia
42,EAU,E.Australia
43,SAU,S.Australia
44,NZ,New-Zealand
45,EAN,E.Antarctica
46,WAN,W.Antarctica
